productName,variationName,variationSku,variationPrice,productId,variationId
Asian Snacks Sticker Sheet,Regular,JH240-S54,6.00,,
B1. Asian Snacks,,N-AS-LP,15.00,,
B2. Summer,,N-SP-LP,15.00,,
BBT Penguin Coaster,BBT Penguin,DC-35,8.00,,
Bird Hug Sticky Note,,JH240-N02,5.00,,
Blue Corgi Butt Sweater,Small,JH240-02S,45.00,,
Blue Corgi Butt Sweater,Medium,JH240-02M,45.00,,
Blue Corgi Butt Sweater,Large,JH240-02L,45.00,,
Blue Corgi Butt Sweater,2XL,JH240-02X,45.00,,
Blue Corgi Butt Sweater,4XL,JH240-02Z,45.00,,
Blue Corgi Butt TShirt,Small,JH240-07S,35.00,,
Blue Corgi Butt TShirt,Medium,JH240-07M,35.00,,
Blue Corgi Butt TShirt,Large,JH240-07L,35.00,,
Blue Corgi Butt TShirt,XL,JH240-07W,35.00,,
Blue Corgi Butt TShirt,2XL,JH240-07X,35.00,,
Blue Corgi Butt TShirt,3XL,JH240-07Y,35.00,,
Bunny Sticker Sheet,Regular,JH240-S66,6.00,,
Bunny Sweater,Small,JH240-05S,45.00,,
Bunny Sweater,Medium,JH240-05M,45.00,,
Bunny Sweater,Large,JH240-05L,45.00,,
Bunny Sweater,2XL,JH240-05X,45.00,,
Bunny Sweater,4XL,JH240-05Z,45.00,,
Bunny Tote Bag,Regular,JH240- B02,30.00,,
Bunny TShirt,Small,JH240-06S,35.00,,
Bunny TShirt,Medium,JH240-06M,35.00,,
Bunny TShirt,Large,JH240-06L,35.00,,
Bunny TShirt,XL,JH240-06W,35.00,,
Bunny TShirt,2XL,JH240-06X,35.00,,
Bunny TShirt,3XL,JH240-06Y,35.00,,
Christmas Joy Penguin Bookmark,,DC-02,6.50,,
Christmas Joy Sticky Note,,JH240-N09,5.00,,
Christmas Present Penguin Bookmark,,DC-01,6.50,,
Christmas Presents Sticky Note,,JH240-N11,5.00,,
Christmas Sweets Penguin Bookmark,,DC-03,6.50,,
Christmas Sweets Sticky Note,,JH240-N10,5.00,,
Corgi _ Blue Sticker Sheet,Regular,JH240-S67,6.00,,
Corgi _ Orange Sticker Sheet,Regular,JH240-S61,6.00,,
Corgi Butt Rubber Round Coaster,Corgi Butt,DC-06,8.00,,
Diecut sticker,1 / $5,UI-STICKER-1,5.00,,
Diecut sticker,3 / $12,UI-STICKER-3,12.00,,
Diecut sticker,6 / $20,UI-STICKER-6,20.00,,
Hot Chocolate Coaster,Hot Chocolate,DC-33,8.00,,
K01. Corgi Butt,,JH240-K01,10.00,,
K02. BBT Penguin,,JH240-K02,10.00,,
K03. Strawberry Cake,,JH240-K03,10.00,,
K04. Otter Family,,JH240-K04,10.00,,
K05. Penguin Family,,JH240-K05,10.00,,
K10. Penguin Witch,,JH240-K10,10.00,,
K11. Sleep Potion,,JH240-K11,10.00,,
K12. Love Potion,,JH240-K12,10.00,,
K13. Surfing Keychain,,JH240-K13,10.00,,
K14. Corgi Butt Lanyard Keychain,,JH240-K14,15.00,,
K15. Otter Family Lanyard Keychain,,JH240-K15,15.00,,
K16. Breakfast Lanyard Keychain,,JH240-K16,15.00,,
K17. Camping Lanyard Keychain,,JH240-K17,15.00,,
Kitty Hug Sticky Note,,JH240-N04,5.00,,
Koala Hug Sticky Note,,JH240-N06,5.00,,
L01. Corgi Butt,,JH240-L01,40.00,,
L04. Penguin Family,,JH240-L04,40.00,,
LaBoo Rose Surprise Valentine's Day Card,,JH240-C02,5.00,,
Lanyard,Orange,JH240-Y01,12.00,,
Lanyard,Blue,JH240-Y02,12.00,,
M1. Asian Snacks,,JH240-M01,15.00,,
M2. Summer,,JH240-M02,15.00,,
M3. Love Mother,,JH240-M03,15.00,,
M4. Anya,,JH240-M04,15.00,,
M5. Bunny,,JH240-M05,15.00,,
